Orthogroup	fasciola_gigantica	fasciola_hepatica	opisthorchis_viverrini	s.mekongi	schistosoma_bovis	schistosoma_curassoni	schistosoma_guineensis	schistosoma_haematobium	schistosoma_intercalatum	schistosoma_japonicum	schistosoma_mansoni	schistosoma_margrebowiei	schistosoma_mattheei	schistosoma_rodhaini	schistosoma_spindale	schistosoma_turkestanicum	schmidtea_mediterranea	trichobilharzia_regenti	Total
OG0000000	3	40	262	4	19	78	91	51	59	40	1	52	49	33	52	12	1	91	938
OG0000001	0	0	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	540
OG0000002	7	69	12	36	47	55	57	58	11	14	0	35	36	35	13	12	2	13	512
OG0000003	0	0	1	0	42	82	105	58	49	13	3	48	24	0	14	0	0	5	444
OG0000004	0	2	0	10	16	65	62	57	31	2	2	24	22	26	38	7	0	51	415
OG0000005	0	39	12	8	11	16	22	31	23	7	0	12	37	30	52	3	3	74	380
OG0000006	1	28	15	17	17	22	23	56	25	12	1	22	38	42	24	23	0	12	378
OG0000007	0	0	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355
OG0000008	1	23	0	39	17	30	26	25	13	14	0	7	42	33	11	0	4	33	318
OG0000009	2	38	11	4	17	14	14	14	9	3	4	5	29	37	18	1	2	93	315
OG0000010	1	47	24	0	6	12	18	29	27	10	3	5	10	32	17	9	1	30	281
OG0000011	0	0	272	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	273
OG0000012	1	6	2	1	48	65	1	27	24	1	2	58	2	13	1	6	3	1	262
OG0000013	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	254	256
OG0000014	1	1	1	1	34	36	28	34	22	3	1	18	20	39	1	1	2	10	253
OG0000015	15	18	22	7	14	18	8	14	15	18	13	19	17	12	9	13	1	16	249
OG0000016	2	9	11	1	15	13	20	10	21	0	1	18	20	15	24	0	0	45	225
OG0000017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	221
OG0000018	0	0	0	6	1	15	30	21	31	1	3	46	20	21	9	0	0	0	204
OG0000019	2	9	2	2	17	14	20	22	11	2	2	13	13	8	16	2	1	47	203
OG0000020	0	0	0	4	16	7	28	5	5	8	1	40	14	14	11	50	0	0	203
OG0000021	4	5	11	6	11	19	9	15	10	16	12	13	12	18	11	6	5	18	201
OG0000022	2	2	1	1	1	21	24	29	32	3	1	10	1	35	12	2	12	1	190
OG0000023	1	18	21	27	5	1	7	1	9	2	0	16	5	21	2	15	0	38	189
OG0000024	16	18	19	5	6	6	10	11	5	7	5	10	7	5	6	5	29	15	185
OG0000025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	177
OG0000026	7	12	5	4	11	9	13	9	32	4	4	4	4	32	9	4	10	3	176
OG0000027	1	1	1	2	35	1	1	1	1	1	9	35	39	5	39	2	0	1	175
OG0000028	6	7	2	1	13	18	23	13	14	9	5	5	2	34	6	1	4	12	175
OG0000029	9	10	20	6	12	8	8	8	5	8	7	6	16	6	7	9	20	9	174
OG0000030	1	1	1	1	45	1	1	1	34	1	1	1	1	1	70	8	1	4	174
OG0000031	2	1	1	1	13	15	19	1	15	6	1	14	20	13	17	3	2	29	173
OG0000032	9	12	10	4	7	9	9	9	7	9	7	11	8	10	7	4	21	15	168
OG0000033	0	0	0	4	11	24	23	3	7	2	0	14	34	21	1	0	2	20	166
OG0000034	3	5	8	4	7	14	13	13	10	8	7	11	17	11	14	12	3	4	164
OG0000035	2	4	1	1	27	1	24	27	1	1	1	6	12	26	15	8	4	2	163
OG0000036	1	7	1	25	7	5	15	5	10	7	1	18	24	11	2	1	0	21	161
OG0000037	2	1	1	2	11	11	6	24	11	6	4	17	7	25	8	6	3	16	161
OG0000038	0	0	1	0	11	15	29	19	14	0	10	14	9	29	8	0	0	0	159
OG0000039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	159
OG0000040	1	1	1	0	14	30	2	28	10	4	4	15	14	20	2	5	3	4	158
OG0000041	0	0	0	33	2	0	1	4	0	3	1	2	0	14	20	0	0	78	158
OG0000042	1	1	4	5	14	7	5	12	6	6	14	16	14	15	14	8	5	9	156
OG0000043	1	2	1	0	19	14	18	22	8	2	1	18	6	15	17	2	0	10	156
OG0000044	3	3	5	2	5	19	12	12	15	5	6	13	6	22	9	9	4	4	154
OG0000045	1	3	0	2	9	22	4	36	2	4	2	32	5	20	1	0	0	11	154
OG0000046	0	2	0	0	4	8	10	20	3	9	10	20	9	6	3	0	0	48	152
OG0000047	0	0	1	0	27	36	31	2	6	0	1	8	8	0	8	0	1	23	152
OG0000048	0	0	0	0	5	10	4	11	3	1	43	17	9	39	9	1	0	0	152
OG0000049	3	4	2	3	12	10	15	13	6	3	3	14	3	21	12	2	18	5	149
OG0000050	3	4	2	1	20	5	11	26	2	2	2	13	17	15	15	3	6	2	149
OG0000051	0	0	0	0	17	16	29	7	16	0	6	10	22	18	7	0	0	0	148
OG0000052	10	12	8	5	9	11	7	9	7	5	5	5	6	5	9	9	12	11	145
OG0000053	2	2	1	2	17	19	19	17	13	2	1	2	12	11	3	1	5	16	145
OG0000054	4	8	10	8	3	2	4	1	7	23	1	5	7	23	7	4	3	23	143
OG0000055	2	3	1	2	20	31	2	2	16	4	2	10	6	24	2	1	2	13	143
OG0000056	0	14	2	13	14	12	11	14	11	9	1	14	8	10	1	4	1	1	140
OG0000057	0	4	0	2	6	7	11	5	2	1	0	6	9	16	7	0	0	64	140
OG0000058	4	3	7	5	13	11	7	9	8	4	5	7	9	16	8	8	9	6	139
OG0000059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	139
OG0000060	1	1	1	1	18	6	42	12	1	2	1	14	1	21	8	3	4	1	138
OG0000061	1	6	1	1	15	17	1	13	12	4	2	25	1	18	12	3	3	2	137
OG0000062	1	2	1	1	15	9	19	21	1	1	1	8	2	28	16	6	4	0	136
OG0000063	1	2	1	1	11	16	14	19	12	1	1	9	1	40	1	0	3	2	135
OG0000064	2	2	1	1	15	1	0	33	26	3	2	2	15	6	2	4	3	17	135
OG0000065	10	9	5	4	6	7	12	12	7	9	5	12	5	9	2	7	0	12	133
OG0000066	1	6	1	1	12	14	21	15	12	3	1	10	10	1	1	4	7	12	132
OG0000067	2	2	0	1	16	9	26	20	9	4	1	15	13	1	8	4	0	1	132
OG0000068	4	10	4	6	6	7	7	9	6	8	5	11	10	7	11	4	12	5	132
OG0000069	2	3	0	1	13	36	27	1	13	1	1	8	3	11	3	3	4	2	132
OG0000070	3	4	1	1	9	14	12	7	17	3	1	12	1	17	3	4	21	1	131
OG0000071	2	3	2	1	16	6	20	14	10	1	1	1	1	15	1	5	0	31	130
OG0000072	2	3	1	1	28	8	15	2	14	1	1	8	2	8	4	1	9	21	129
OG0000073	1	5	1	1	11	14	2	27	8	7	8	10	4	9	10	4	3	2	127
OG0000074	4	5	5	4	5	6	6	5	7	15	4	5	15	5	4	5	20	6	126
OG0000075	1	2	1	1	13	1	13	23	24	1	1	16	3	20	1	2	1	2	126
OG0000076	8	4	3	3	11	6	2	12	11	3	5	3	6	9	2	4	23	5	120
OG0000077	1	1	1	1	11	7	1	15	11	1	2	1	10	26	25	3	1	2	120
OG0000078	1	1	2	2	17	7	4	14	9	5	1	18	2	11	6	8	4	7	119
OG0000079	4	5	2	1	11	10	2	12	10	5	5	7	9	2	11	4	13	6	119
OG0000080	1	1	2	1	17	16	1	14	9	2	3	13	8	9	9	5	1	6	118
OG0000081	2	3	4	5	13	12	10	2	12	5	8	20	7	14	0	0	0	0	117
OG0000082	1	2	1	1	1	19	19	1	17	1	1	1	14	18	1	5	0	14	117
OG0000083	0	0	0	2	4	3	7	4	10	0	0	9	3	4	1	2	0	68	117
OG0000084	0	0	0	0	10	7	17	6	13	0	3	9	19	20	4	0	0	9	117
OG0000085	1	3	3	1	10	6	19	15	1	5	1	8	10	24	5	2	0	2	116
OG0000086	1	1	1	1	9	13	12	13	7	1	1	12	9	17	6	2	0	10	116
OG0000087	1	2	2	1	13	10	17	11	12	1	1	9	17	7	1	7	2	1	115
OG0000088	2	1	0	2	12	14	12	11	9	4	3	2	11	4	6	3	14	5	115
OG0000089	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115
OG0000090	1	2	2	1	6	8	16	19	8	1	1	11	6	10	4	3	3	12	114
OG0000091	3	5	1	1	2	1	10	29	6	2	1	9	1	16	16	5	4	2	114
OG0000092	2	5	3	2	7	14	5	7	4	7	3	6	4	12	6	7	12	8	114
OG0000093	7	6	7	3	6	3	11	3	2	1	9	8	8	6	7	4	14	8	113
OG0000094	1	2	1	1	13	16	7	21	10	2	1	2	6	9	6	10	4	1	113
OG0000095	1	1	1	2	15	9	12	11	8	3	1	14	1	11	12	1	5	5	113
OG0000096	1	2	1	1	11	15	8	1	16	5	3	11	10	13	1	3	5	6	113
OG0000097	1	1	1	2	14	26	1	31	14	1	1	1	1	5	5	5	2	1	113
OG0000098	2	5	3	4	10	8	8	12	9	4	3	2	4	15	10	2	10	2	113
OG0000099	4	7	2	2	15	10	5	6	10	6	2	7	6	8	6	7	5	4	112
OG0000100	0	0	64	0	5	3	2	0	4	4	3	0	8	7	1	0	0	11	112
OG0000101	0	0	0	0	0	0	0	111	0	0	0	0	1	0	0	0	0	0	112
OG0000102	3	2	2	2	8	4	15	13	3	5	2	8	5	8	6	3	15	7	111
OG0000103	2	1	1	1	8	10	11	7	6	3	1	9	10	19	11	2	0	9	111
OG0000104	1	1	0	1	21	17	1	17	1	2	1	13	1	18	11	2	2	1	111
OG0000105	2	1	2	2	1	1	8	25	15	2	1	8	9	23	6	1	1	2	110
OG0000106	0	0	0	2	8	10	9	6	6	8	11	6	13	4	10	15	0	2	110
OG0000107	3	1	3	2	9	4	8	5	4	13	5	5	4	4	10	4	21	4	109
OG0000108	3	2	2	1	19	1	1	17	17	5	1	10	1	13	1	2	7	6	109
OG0000109	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109
OG0000110	3	6	4	4	8	10	7	7	10	4	4	6	7	6	6	5	5	6	108
OG0000111	4	3	4	4	8	6	7	6	9	11	6	7	10	5	7	3	5	3	108
OG0000112	2	2	1	1	13	13	5	27	13	4	6	12	2	1	1	4	0	1	108
OG0000113	0	0	0	0	3	13	17	10	30	3	3	25	1	2	1	0	0	0	108
OG0000114	1	1	3	1	22	9	11	17	10	2	1	12	1	7	4	2	0	2	106
OG0000115	1	1	1	1	14	10	1	10	15	4	1	18	12	13	2	1	0	1	106
OG0000116	2	4	1	1	1	22	14	1	1	5	2	10	1	16	11	6	2	5	105
OG0000117	1	1	1	1	13	19	14	20	14	2	1	1	1	1	10	1	0	4	105
OG0000118	1	1	0	5	9	5	5	8	5	13	7	4	8	10	5	5	0	14	105
OG0000119	2	1	1	1	6	2	9	12	2	4	2	9	7	8	14	12	2	11	105
OG0000120	1	1	1	1	1	1	1	27	8	3	1	18	26	1	0	4	0	10	105
OG0000121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	105
OG0000122	2	1	2	1	19	25	11	11	6	1	1	10	1	1	1	3	0	8	104
OG0000123	1	4	1	1	15	10	1	13	16	2	5	17	1	1	2	2	9	3	104
OG0000124	0	2	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104
OG0000125	2	3	1	1	11	14	14	6	8	3	3	13	1	1	1	4	5	12	103
OG0000126	2	3	0	1	8	13	20	5	5	1	1	25	1	7	4	1	4	1	102
OG0000127	2	2	1	1	3	21	1	8	3	4	12	9	4	19	6	3	2	1	102
OG0000128	1	1	1	1	10	15	20	13	1	5	1	1	3	13	9	3	2	2	102
OG0000129	1	2	1	1	8	1	10	14	11	8	1	10	8	9	8	3	4	1	101
OG0000130	2	4	1	1	5	6	13	14	1	3	2	5	9	24	5	2	1	3	101
OG0000131	6	12	9	2	3	4	2	5	5	3	5	11	5	9	7	6	0	7	101
OG0000132	2	3	1	1	11	10	6	9	12	3	1	4	1	24	1	2	8	2	101
OG0000133	1	3	1	1	9	16	18	1	8	2	1	7	11	13	4	1	3	1	101
OG0000134	1	2	1	1	22	11	1	1	10	1	1	8	1	3	9	1	3	23	100
OG0000135	1	3	2	1	14	2	2	20	12	2	2	1	7	4	12	4	10	1	100
OG0000136	3	4	1	2	20	17	12	7	4	2	1	2	2	13	1	1	1	7	100
OG0000137	0	0	0	3	8	13	6	7	8	6	7	10	3	7	9	9	1	3	100
OG0000138	3	2	2	2	5	12	10	10	3	3	2	7	7	5	2	2	15	7	99
OG0000139	1	1	1	1	12	8	14	19	10	1	1	5	2	7	13	1	1	1	99
OG0000140	1	2	2	2	1	39	3	1	1	1	2	31	1	1	1	3	5	2	99
OG0000141	0	0	0	1	9	26	19	3	4	7	0	2	11	9	5	3	0	0	99
OG0000142	7	13	3	3	6	7	7	5	5	0	7	7	5	6	2	5	4	6	98
OG0000143	1	2	2	2	4	11	2	10	3	2	3	6	2	6	2	3	0	37	98
OG0000144	4	5	4	3	6	3	3	5	5	8	3	9	7	9	4	4	6	9	97
OG0000145	1	1	1	1	11	2	1	21	2	1	2	31	1	2	3	3	1	12	97
OG0000146	5	4	5	4	5	7	5	5	6	9	4	4	5	5	3	6	10	4	96
OG0000147	1	1	0	1	11	13	11	16	11	1	1	8	2	8	5	1	1	4	96
OG0000148	2	1	0	1	7	21	4	3	9	1	1	6	1	30	8	1	0	0	96
OG0000149	1	1	1	1	10	18	1	11	7	4	1	4	7	12	12	2	2	1	96
OG0000150	0	0	0	0	2	81	5	3	2	0	1	0	0	1	1	0	0	0	96
OG0000151	1	2	1	2	6	11	10	17	1	1	1	12	12	11	1	4	1	1	95
OG0000152	1	1	1	1	8	7	11	14	8	5	1	5	8	11	5	5	1	2	95
OG0000153	4	5	8	1	6	1	7	5	6	6	4	8	5	5	3	2	7	12	95
OG0000154	4	5	1	2	7	1	11	5	10	3	1	10	1	12	9	3	8	1	94
OG0000155	1	5	1	1	17	1	13	18	1	1	3	8	11	1	1	4	1	6	94
OG0000156	4	5	4	2	11	9	4	9	5	2	4	7	8	3	8	2	2	5	94
OG0000157	4	5	7	3	7	3	4	7	4	3	4	5	5	6	4	4	11	8	94
OG0000158	2	3	3	3	10	1	1	2	15	2	2	6	2	15	1	4	20	2	94
OG0000159	1	1	1	1	1	7	17	9	9	1	1	15	6	1	1	1	2	19	94
OG0000160	1	1	1	6	9	4	16	11	1	5	1	4	3	14	12	2	0	2	93
OG0000161	1	0	1	1	6	11	5	6	7	2	1	11	4	7	8	15	1	6	93
OG0000162	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	91	93
OG0000163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	93
OG0000164	5	4	4	4	4	4	4	4	6	13	4	5	7	4	6	4	5	5	92
OG0000165	1	2	1	1	1	13	1	19	6	1	1	10	8	16	1	1	1	8	92
OG0000166	1	2	1	0	1	9	1	5	11	6	1	28	1	12	3	1	0	9	92
OG0000167	1	4	1	1	7	7	4	6	5	6	2	10	7	10	5	7	6	3	92
OG0000168	0	0	0	1	7	5	12	6	9	4	5	5	9	3	3	9	0	14	92
OG0000169	6	9	8	5	4	8	6	3	3	4	3	4	10	7	3	2	0	6	91
OG0000170	3	1	1	1	1	1	30	18	22	1	1	1	2	1	1	3	0	3	91
OG0000171	1	4	6	0	11	9	5	3	3	1	0	9	12	16	0	1	0	10	91
OG0000172	2	5	1	1	1	1	10	8	7	2	6	6	4	25	7	1	3	1	91
OG0000173	5	2	1	1	11	17	7	12	1	1	1	14	1	6	4	1	5	1	91
OG0000174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	91
OG0000175	6	8	5	4	7	5	5	5	3	4	4	6	5	6	4	4	5	4	90
OG0000176	1	12	3	2	5	8	7	6	8	6	0	0	5	12	2	4	0	9	90
OG0000177	2	6	1	1	3	3	1	3	3	2	2	9	5	19	6	6	10	8	90
OG0000178	1	4	3	1	6	9	9	8	5	1	1	4	4	26	2	3	0	3	90
OG0000179	2	2	1	2	10	9	8	10	7	2	2	6	7	8	5	2	4	3	90
OG0000180	1	1	1	4	7	9	5	6	8	8	5	5	3	1	6	15	2	3	90
OG0000181	0	0	0	0	8	9	8	40	2	0	0	9	11	0	3	0	0	0	90
OG0000182	2	5	4	2	5	10	5	2	3	4	3	4	3	3	17	2	6	9	89
OG0000183	1	2	1	1	13	1	1	14	12	2	1	13	9	11	1	3	0	3	89
OG0000184	2	2	5	2	7	8	5	4	7	3	2	9	4	2	5	5	2	15	89
OG0000185	1	2	1	1	13	6	10	9	11	2	2	11	9	7	1	1	0	2	89
OG0000186	1	2	1	2	7	12	10	16	5	1	1	1	1	13	9	1	3	2	88
OG0000187	2	3	1	1	1	10	1	12	7	3	1	12	5	1	12	1	12	3	88
OG0000188	1	1	1	1	11	10	10	1	9	1	1	5	5	24	1	1	0	5	88
OG0000189	1	2	2	1	1	12	12	13	7	4	1	1	1	1	11	13	0	5	88
OG0000190	1	2	1	1	1	1	7	6	6	3	5	4	12	11	7	2	1	17	88
OG0000191	5	6	2	2	5	5	4	7	7	5	3	3	4	3	8	5	0	14	88
OG0000192	2	3	2	1	16	1	12	1	17	2	1	11	1	1	10	1	1	5	88
OG0000193	2	3	2	2	5	1	1	7	2	11	2	7	6	12	1	1	3	20	88
OG0000194	1	2	1	1	6	6	8	17	13	1	2	10	3	1	9	1	3	3	88
OG0000195	1	1	1	1	11	10	6	11	8	3	1	6	1	12	9	2	3	1	88
OG0000196	3	3	4	3	4	4	5	7	3	7	4	6	4	7	4	6	4	9	87
OG0000197	0	0	0	2	7	11	1	13	1	7	1	10	1	15	1	1	0	16	87
OG0000198	2	3	1	2	14	5	2	4	5	4	3	11	8	3	11	3	1	4	86
OG0000199	1	1	1	1	2	7	12	11	13	2	1	10	1	15	1	2	2	3	86
OG0000200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	86
OG0000201	1	4	1	1	13	19	1	15	1	3	2	6	10	1	1	4	1	1	85
OG0000202	1	1	1	1	3	11	13	15	21	3	1	1	4	4	3	1	0	1	85
OG0000203	1	4	1	2	23	10	16	14	1	3	1	1	1	1	1	3	0	2	85
OG0000204	0	0	0	5	10	5	3	3	6	4	8	8	11	8	7	6	0	1	85
OG0000205	1	3	1	1	9	1	13	6	8	1	2	6	1	10	12	1	0	8	84
OG0000206	1	1	1	1	11	11	1	8	1	3	1	10	5	11	9	6	2	1	84
OG0000207	5	7	5	5	5	5	5	6	4	6	7	5	4	5	6	2	0	2	84
OG0000208	1	3	1	1	10	6	8	7	3	1	1	0	10	1	22	1	3	5	84
OG0000209	1	2	1	1	11	5	0	20	6	1	2	11	1	4	8	7	2	1	84
OG0000210	2	4	2	1	13	11	6	2	7	1	2	8	6	4	4	4	3	4	84
OG0000211	1	2	1	1	11	1	1	11	7	4	1	6	2	17	8	1	1	8	84
OG0000212	2	1	1	1	9	7	2	1	3	2	1	9	7	15	2	1	11	9	84
OG0000213	1	2	1	1	14	7	4	14	10	0	1	6	9	6	1	1	1	5	84
OG0000214	1	1	1	1	1	14	0	6	2	3	2	10	2	16	4	5	0	15	84
OG0000215	0	0	0	1	6	8	2	10	8	7	4	10	7	4	8	0	0	9	84
OG0000216	0	0	0	0	0	10	17	8	13	2	2	9	11	5	3	2	0	2	84
OG0000217	2	5	1	1	8	10	5	5	8	7	1	3	11	2	3	2	4	5	83
OG0000218	5	1	1	1	20	3	7	1	11	1	1	10	12	2	4	1	1	1	83
OG0000219	1	2	1	1	12	8	7	9	1	2	1	14	8	1	6	1	1	7	83
OG0000220	1	4	1	1	1	16	14	8	15	3	2	1	1	1	4	3	0	7	83
OG0000221	8	9	8	3	3	3	2	3	4	4	2	2	3	5	6	3	6	8	82
OG0000222	1	4	1	1	4	1	1	9	4	4	1	3	2	29	7	2	1	7	82
OG0000223	1	2	1	1	17	12	1	11	13	1	1	1	1	9	7	1	1	1	82
OG0000224	2	2	1	1	10	7	12	10	5	1	1	0	2	20	1	3	2	2	82
OG0000225	2	3	1	1	1	1	8	10	9	1	1	9	10	12	4	1	2	6	82
OG0000226	2	1	1	1	17	1	1	22	1	2	1	2	2	22	1	3	1	1	82
OG0000227	2	1	1	1	1	7	8	7	13	1	1	9	8	1	8	2	3	8	82
OG0000228	1	4	1	1	19	6	1	1	2	2	1	15	13	1	5	1	6	2	82
OG0000229	3	3	2	1	8	1	8	7	1	1	1	4	4	28	1	2	6	1	82
OG0000230	2	1	1	1	12	1	9	14	1	1	2	8	2	1	17	2	6	1	82
OG0000231	0	0	0	9	4	1	5	5	4	21	5	6	8	6	2	6	0	0	82
OG0000232	0	0	0	0	2	4	5	4	4	0	5	10	3	10	14	21	0	0	82
OG0000233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	82
OG0000234	1	2	1	1	11	16	1	1	8	2	1	16	1	6	9	3	0	1	81
OG0000235	3	4	2	5	1	7	4	7	6	2	2	2	1	13	3	2	8	9	81
OG0000236	1	1	1	1	7	10	13	9	1	1	1	6	1	16	1	1	3	7	81
OG0000237	1	2	1	1	14	1	15	3	5	1	1	6	1	19	5	2	1	2	81
OG0000238	1	3	0	1	10	2	10	13	15	3	1	4	4	9	1	1	2	1	81
OG0000239	2	9	1	1	2	3	8	1	6	2	2	7	4	4	12	5	10	2	81
OG0000240	2	1	2	1	8	1	2	4	8	2	2	4	6	30	3	2	2	1	81
OG0000241	1	4	3	3	4	3	5	6	7	6	3	5	5	8	6	1	0	10	80
OG0000242	1	1	1	1	7	18	1	16	16	1	1	6	4	1	1	1	2	1	80
OG0000243	2	1	1	2	11	8	3	10	4	4	1	6	1	13	1	5	0	6	79
OG0000244	2	3	1	1	7	8	1	10	1	1	1	0	14	12	3	1	3	10	79
OG0000245	1	3	2	1	2	1	7	10	3	7	2	2	3	1	9	3	12	10	79
OG0000246	1	2	1	1	9	14	11	15	5	2	1	7	1	1	1	1	4	2	79
OG0000247	1	2	1	1	6	8	3	1	7	2	1	6	1	17	1	4	5	12	79
OG0000248	1	1	1	1	6	8	7	5	5	3	1	7	2	4	6	4	11	6	79
OG0000249	1	2	1	1	7	6	7	9	3	1	1	4	2	10	5	1	0	18	79
OG0000250	2	2	1	1	6	5	9	5	1	4	1	3	3	17	9	3	3	4	79
OG0000251	0	1	1	1	8	9	7	12	9	3	1	1	1	7	1	2	3	12	79
OG0000252	1	1	1	1	5	8	12	12	9	1	1	9	6	1	7	2	0	1	78
OG0000253	1	4	1	1	21	8	16	2	1	3	4	1	9	1	1	1	2	1	78
OG0000254	1	1	2	1	8	1	1	15	7	3	1	7	1	7	7	6	1	8	78
OG0000255	1	1	1	1	8	8	1	18	12	2	1	11	1	1	4	1	3	3	78
OG0000256	19	8	0	2	1	1	1	1	1	2	1	1	1	1	2	3	32	1	78
OG0000257	2	2	1	1	13	2	1	3	9	0	1	10	8	9	11	4	0	1	78
OG0000258	1	1	1	2	7	10	7	11	6	2	1	3	5	5	1	0	7	8	78
OG0000259	1	1	1	1	1	10	1	3	5	1	1	16	1	18	10	1	0	6	78
OG0000260	1	2	1	1	1	1	16	14	1	8	1	13	1	1	4	1	5	6	78
OG0000261	1	3	1	1	8	1	1	8	11	3	2	8	4	1	11	4	0	10	78
OG0000262	2	1	1	1	9	1	1	13	10	2	2	5	4	15	4	2	0	5	78
OG0000263	1	3	1	1	7	7	5	14	12	1	1	7	2	7	1	1	6	1	78
OG0000264	2	3	2	3	5	6	2	3	4	3	3	7	8	8	5	4	3	7	78
OG0000265	0	0	0	2	15	6	2	9	14	0	0	3	10	8	7	0	0	2	78
OG0000266	3	4	2	1	6	5	1	12	8	4	2	11	4	1	5	2	0	6	77
OG0000267	2	2	2	2	5	3	7	9	1	0	3	5	2	4	6	2	11	11	77
OG0000268	3	5	4	2	3	4	4	6	5	8	2	2	4	2	2	3	14	4	77
OG0000269	1	1	1	2	20	10	0	7	3	1	3	8	2	12	1	1	2	2	77
OG0000270	2	2	1	1	9	14	1	7	7	3	1	7	2	4	5	6	1	4	77
OG0000271	3	2	1	1	1	1	10	14	4	5	1	9	10	1	1	1	2	10	77
OG0000272	1	2	2	1	3	5	8	8	1	5	2	9	4	3	13	4	5	1	77
OG0000273	1	1	1	1	20	1	18	1	1	1	1	1	7	4	7	2	1	8	77
OG0000274	2	3	2	1	9	9	10	5	1	5	3	7	2	1	5	5	6	1	77
OG0000275	1	1	1	1	12	10	1	20	1	1	1	1	1	19	2	1	2	1	77
OG0000276	1	1	1	1	4	10	8	11	9	5	1	6	5	7	3	1	2	1	77
OG0000277	1	2	2	1	12	1	1	9	8	6	2	8	8	1	2	3	6	4	77
OG0000278	0	2	44	0	1	0	2	1	1	0	0	0	2	4	3	1	0	16	77
OG0000279	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	77
OG0000280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	77
OG0000281	3	3	2	3	4	4	4	5	6	3	4	5	4	7	9	3	4	3	76
OG0000282	2	1	1	1	1	8	1	10	9	1	1	10	2	14	8	2	0	4	76
OG0000283	1	3	1	1	1	7	8	15	1	1	2	6	1	11	7	5	2	3	76
OG0000284	1	3	0	1	12	10	18	1	8	3	1	1	1	1	12	2	0	1	76
OG0000285	2	1	1	1	5	22	1	1	9	1	1	1	1	14	7	2	3	3	76
OG0000286	3	3	3	1	6	6	11	9	10	3	2	3	4	2	2	4	2	2	76
OG0000287	1	1	1	1	5	7	3	10	6	3	1	6	6	7	9	3	1	5	76
OG0000288	1	4	1	1	11	4	6	12	10	1	1	6	1	7	1	1	7	1	76
OG0000289	1	1	1	1	1	12	1	13	1	1	1	4	10	12	9	3	3	1	76
OG0000290	2	4	2	2	6	5	4	6	10	7	3	4	3	6	3	4	1	3	75
OG0000291	2	1	1	1	8	1	6	8	11	1	1	4	9	6	5	1	3	6	75
OG0000292	2	3	1	1	1	14	15	1	7	1	2	1	8	1	7	6	1	3	75
OG0000293	4	5	4	3	4	4	4	5	5	4	3	3	3	5	4	3	7	5	75
OG0000294	1	1	1	2	12	3	2	9	2	1	3	2	2	26	1	2	3	2	75
OG0000295	1	2	1	1	6	6	4	4	4	3	4	9	8	9	7	2	3	1	75
OG0000296	4	2	3	2	5	2	0	11	6	0	3	1	2	6	3	11	2	12	75
OG0000297	1	1	1	1	1	19	3	9	1	4	1	12	4	10	4	1	1	1	75
OG0000298	2	4	2	2	4	6	2	5	2	3	3	6	4	4	2	3	16	5	75
OG0000299	1	1	1	1	1	1	5	10	5	2	1	6	2	23	8	1	1	5	75
OG0000300	1	2	1	1	5	1	7	5	4	2	1	1	1	21	15	3	1	3	75
OG0000301	1	4	3	1	3	4	8	5	2	8	1	7	6	8	4	2	5	3	75
OG0000302	1	2	1	1	9	1	1	1	1	1	4	7	7	28	1	3	5	1	75
OG0000303	2	1	2	0	9	23	12	6	1	1	4	1	1	2	2	2	1	5	75
OG0000304	1	1	2	2	1	10	1	16	1	2	1	6	10	7	5	3	3	3	75
OG0000305	3	2	1	1	2	11	9	6	11	1	1	4	4	3	6	1	4	5	75
OG0000306	2	3	1	2	1	1	21	11	5	2	1	6	9	1	1	1	1	6	75
OG0000307	1	4	1	2	2	2	5	4	4	3	2	5	7	3	3	5	15	7	75
OG0000308	0	3	0	0	10	9	11	3	6	3	3	3	8	5	5	1	2	3	75
OG0000309	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75
OG0000310	0	0	0	1	7	17	4	4	18	1	1	7	6	5	1	3	0	0	75
OG0000311	1	1	1	1	5	1	14	1	9	1	2	11	2	15	7	1	0	1	74
OG0000312	3	1	1	1	11	5	6	3	7	3	1	10	7	12	1	1	0	1	74
